function,compile_success,harness_size,program_files,coverage.non_harness.hit,coverage.non_harness.total,custom_loop_limits,max_loop_limit,num_preconditions,stubs,verification.error_count
dao_input_storing,True,81,1,178,193,1,2,6,11,8
dio_input,True,28,1,133,133,1,2,6,2,0
input,True,36,1,72,86,0,2,2,11,0
input_l2cap_credit,True,15,1,20,20,0,2,4,2,5
read_frame,True,15,9,140,140,0,2,2,2,1
rpl_ext_header_srh_update,True,21,1,34,34,0,2,4,1,3
storage_get_index,True,32,1,31,31,0,16,1,4,0
uipbuf_get_next_header,True,9,1,31,31,0,2,2,0,1
uncompress_addr,True,26,1,21,21,0,2,3,2,0
uncompress_hdr_iphc,True,29,1,242,249,1,4,9,3,0
